Windfarm,Mean,Variance,Skewness,Kurtosis,Weibull_Shape,Weibull_Scale,Burr_c,Burr_d,Burr_loc,Burr_scale,GenGamma_a,GenGamma_c,GenGamma_loc,GenGamma_scale
MUSSELR1,8.714371292,21.5453946,0.591388877,-0.004280346,1.953683561,9.823885276,0.812035159,1.892797369,-2.57E-05,1.16372135,0.869671224,2.131507909,-0.004880752,10.6949709
MUWAWF1,6.971766627,8.264582875,0.322257983,0.297567419,1,1.05,162168354.5,1.794785754,-314761268.7,314761274.1,75.81449701,0.677645892,-9.927203584,0.028259669
MUWAWF2,6.971766627,8.264582875,0.322257983,0.297567419,1,1.05,162168354.5,1.794785754,-314761268.7,314761274.1,75.81449701,0.677645892,-9.927203584,0.028259669
MWF_MUMBIDA_WF1,7.12608687,9.040187725,0.16752483,-0.184020901,2.529078892,8.011919188,8.296557893,0.23161392,-0.001005264,10.23928633,2.416347274,2.330324868,-3.588192133,7.710958381
NBHWF1,7.338413473,10.42078068,0.516832914,0.325195267,2.4078001,8.272162536,6.153017359,0.348602796,0.000586985,9.662696059,1.407504921,2.060564307,-0.282155638,7.043338853
OAKLAND1,7.400270933,10.81395894,0.490749797,0.150983601,1,1.05,5.989415115,0.366998411,-0.124894433,9.774804559,2.876414864,1.639604699,-1.647009328,4.946243908
PAREPW1,5.66394607,11.03174738,0.568968154,-0.218255633,1.758666162,6.365152609,6.38224799,0.198912496,0.02991909,9.512907781,0.673769422,2.260453486,0.029573962,8.044408231
SALTCRK1,7.398563484,11.15153541,0.485881832,0.1160169,2.345753913,8.344720361,6.029381636,0.338013988,0.0197456,9.876881009,1.291015639,2.113198346,-0.300842305,7.502073215
SAPHWF1,6.477940623,10.2099044,0.344600042,-0.32000001,1,1.05,5.627890062,0.31587144,-0.197874459,9.486410855,0.970658113,2.09494512,-0.015512552,7.508720097
SNOWNTH1,6.373774241,8.887322248,0.442074411,0.158973808,2.2533325,7.188263576,6.805232307,0.262242192,0.028528761,9.15595252,0.993634672,2.348901494,-0.19999632,7.44096351
SNOWSTH1,6.373774241,8.887322248,0.442074411,0.158973808,2.2533325,7.188263576,6.805232307,0.262242192,0.028528761,9.15595252,0.993634672,2.348901494,-0.19999632,7.44096351
SNOWTWN1,6.373774241,8.887322248,0.442074411,0.158973808,2.2533325,7.188263576,6.805232307,0.262242192,0.028528761,9.15595252,0.993634672,2.348901494,-0.19999632,7.44096351
STARHLWF,7.500322268,13.76042261,0.433126768,-0.122241715,2.118566771,8.460275828,6.54641025,0.25171784,0.009126724,11.13086316,0.740510154,2.56206538,-0.000534042,9.887456218
STOCKYD1,7.510574949,11.01614008,0.388856461,-0.032613049,2.399935548,8.46349509,6.529799612,0.306752679,0.010024781,10.26076025,8.725681776,1.256314699,-4.827497728,2.220033341
STWF1,7.1715938,8.180734673,0.301907971,0.271579079,2.675030925,8.051279926,7.483012566,0.310612284,-0.094267936,9.589426633,1.875074815,2.322441185,-1.617768822,7.154386786
TARALGA1,6.009227555,13.42561304,1.03152666,1.002089177,1,1.05,3.803671417,0.448409186,-0.000717882,7.597643004,1.989382954,1.166514599,-0.019452227,3.440851083
WATERLWF,7.410479837,11.2444825,0.806294239,0.971084538,2.329260607,8.364090123,5.166940702,0.485026179,-0.078048217,8.897255937,3.587412593,1.309637754,-0.849812644,3.18266069
WGWF1,7.474007672,11.35601484,0.640963881,0.539104193,2.342891385,8.432277288,5.582272898,0.404918766,-0.057740035,9.515356384,2.661006793,0.702277219,0.039968552,1.41618691
WOODLWN1,7.155571526,13.68134188,0.885529368,0.788742098,2.035762875,8.086100871,4.434306542,0.482961869,-0.05698729,8.695519398,2.122490866,1.372919576,-0.133601597,4.392810947
WOOLNTH1,10.04147815,19.41454628,0.262657106,-0.208080965,2.419614385,11.30614444,7.536318819,0.247401694,0.045325248,14.36619113,38.3263217,0.916507487,-15.06282871,0.469301715
WPWF,7.926569273,12.7480392,0.384154462,-0.053222215,2.354761372,8.937959206,6.925268167,0.27147871,0.02681926,11.20924454,2.869307468,1.737397434,-2.36573138,5.843859577
WRWF1,6.583828428,10.469054,0.483357222,-0.073773494,1,1.05,6.125982959,0.282374848,-0.000814463,9.501351061,0.896272948,2.2956576,-0.004761321,7.907971892
YANDIN_WF1,6.894088381,7.557522971,0.127651986,0.152452404,2.690523425,7.7343582,9.313493792,0.221244502,0.000217845,9.733568242,6.313890862,2.245070068,-8.462239997,6.88782318
YSWF1,7.634141997,16.60956282,0.635208018,-0.013168136,1.960841004,8.616659556,4.957375933,0.338265219,0.019037082,10.64010377,1.068421488,1.876304235,0.010033982,8.249916892
