Windfarm,Best Fit Model,Params (as string),AIC,BIC
STARHLWF,gengamma,"0.7405101542002304, 2.5620653804719966, -0.0005340421707096246, 9.887456217562438",377822.0371688189,377858.6694785095
STWF1,burr,"7.4830125663413485, 0.3106122837165487, -0.09426793576980633, 9.58942663334951",344959.7088227043,344996.34113239497
TARALGA1,gengamma,"1.9893829537489864, 1.1665145991826615, -0.01945222658742199, 3.4408510828568546",364079.23894444143,364115.8712541321
WATERLWF,burr,"5.166940701922599, 0.4850261788621695, -0.07804821743460914, 8.897255937334556",361756.3964674199,361793.02877711056
WGWF1,burr,"5.582272898250776, 0.40491876574088775, -0.05774003537699868, 9.515356383743098",364862.22274871863,364898.8550584093
WOODLWN1,gengamma,"2.1224908662491, 1.3729195757684955, -0.1336015972627952, 4.392810946987005",372354.45886710327,372391.0911767939
WOOLNTH1,weibull_min,"2.4196280186629635, 0, 11.30618878262349",405314.68504480366,405342.15927707165
WPWF,weibull_min,"2.35474890206895, 0, 8.937924161403835",374383.65549653233,374411.1297288003
WRWF1,gengamma,"0.8962729476218231, 2.295657599703394, -0.004761321184905021, 7.907971892444399",358175.72771198105,358212.3600216717
YANDIN_WF1,burr,"9.31349379226012, 0.221244501659287, 0.00021784504602614458, 9.733568241830064",338789.6262261474,338826.25853583805
YSWF1,gengamma,"1.068421487900285, 1.8763042345128507, 0.010033982297108453, 8.249916892491179",387392.4875868428,387429.11989653343
