u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
4.51,3.86,4.75,4.06,5.93,229.45,6.25,229.46,6.18,6.16
3.79,4.29,4.0,4.56,5.72,221.52,6.07,221.24,5.99,5.97
2.98,4.1,3.12,4.38,5.07,216.04,5.38,215.53,5.31,5.28
2.24,4.35,2.34,4.63,4.89,207.27,5.19,206.87,5.12,5.1
1.03,5.04,1.09,5.35,5.14,191.53,5.46,191.57,5.38,5.36
0.96,5.22,1.03,5.53,5.31,190.46,5.63,190.56,5.55,5.53
1.79,4.37,2.0,4.75,4.73,202.3,5.16,202.84,5.06,5.03
1.66,3.9,1.97,4.76,4.24,203.06,5.15,202.5,4.94,4.88
0.13,3.2,0.44,4.17,3.21,182.39,4.19,186.04,3.96,3.89
-0.67,3.05,-0.56,3.98,3.13,167.62,4.02,171.95,3.81,3.75
-2.09,2.68,-2.5,3.6,3.4,142.04,4.39,145.21,4.15,4.09
-2.78,1.89,-3.51,2.54,3.37,124.19,4.33,125.9,4.1,4.04
-2.71,2.61,-3.47,3.16,3.76,133.85,4.7,132.29,4.48,4.42
-2.99,2.44,-3.85,2.82,3.86,129.18,4.77,126.17,4.56,4.5
-2.55,2.94,-3.35,3.28,3.89,139.01,4.69,134.43,4.5,4.45
-2.4,2.24,-3.23,2.72,3.28,133.02,4.22,130.16,4.0,3.94
-1.9,1.94,-2.79,2.32,2.71,135.54,3.63,129.69,3.41,3.35
-1.85,1.07,-2.76,1.41,2.14,120.11,3.1,117.05,2.87,2.81
-1.63,1.8,-1.94,1.84,2.43,137.83,2.68,133.52,2.62,2.6
-2.48,1.53,-2.69,1.56,2.91,121.6,3.11,120.16,3.06,3.05
-1.87,2.43,-1.97,2.5,3.06,142.46,3.18,141.77,3.15,3.15
-1.87,2.25,-1.97,2.25,2.92,140.33,2.99,138.8,2.97,2.97
-1.99,2.68,-2.09,2.72,3.34,143.38,3.43,142.38,3.41,3.4
-2.52,2.87,-2.66,2.87,3.81,138.7,3.91,137.24,3.89,3.88
-2.87,3.62,-2.97,3.66,4.61,141.6,4.71,140.91,4.69,4.68
-2.73,5.82,-2.91,6.03,6.43,154.86,6.7,154.27,6.63,6.62
-3.11,6.87,-3.31,7.22,7.54,155.65,7.94,155.34,7.85,7.82
-3.26,6.53,-3.5,6.88,7.29,153.47,7.72,153.01,7.62,7.59
-3.66,5.19,-4.0,5.47,6.35,144.79,6.78,143.8,6.68,6.65
-4.62,3.38,-5.13,3.59,5.72,126.24,6.26,125.02,6.14,6.1
-5.71,2.07,-6.57,2.31,6.08,109.93,6.97,109.4,6.76,6.7
-5.63,2.07,-6.89,2.31,6.0,110.19,7.27,108.57,6.97,6.89
-5.94,2.21,-7.33,2.25,6.33,110.38,7.67,107.06,7.35,7.27
-5.9,1.99,-7.3,1.97,6.23,108.65,7.56,105.08,7.25,7.16
-6.03,1.28,-7.33,1.22,6.17,101.95,7.43,99.43,7.13,7.05
-6.1,1.28,-7.42,1.22,6.23,101.83,7.52,99.31,7.22,7.13
-6.52,1.0,-8.11,0.87,6.59,98.72,8.16,96.13,7.79,7.69
-6.55,0.29,-8.02,0.09,6.56,92.5,8.02,90.64,7.67,7.58
-6.06,0.41,-7.45,0.25,6.08,93.88,7.46,91.9,7.13,7.04
-5.97,0.81,-7.3,0.68,6.03,97.75,7.33,95.36,7.02,6.94
-5.63,0.57,-6.92,0.34,5.66,95.79,6.93,92.81,6.63,6.55
-6.2,0.81,-7.39,0.68,6.26,97.46,7.42,95.29,7.15,7.07
-7.31,0.57,-8.07,0.44,7.33,94.47,8.08,93.09,7.91,7.86
-7.87,0.88,-8.57,0.84,7.92,96.34,8.61,95.62,8.45,8.4
-7.91,0.91,-8.57,0.81,7.96,96.57,8.61,95.41,8.45,8.41
-8.01,1.59,-8.66,1.59,8.16,101.22,8.81,100.42,8.66,8.61
-8.26,1.94,-8.82,1.91,8.48,103.2,9.02,102.2,8.89,8.86
-7.76,2.62,-8.38,2.62,8.19,108.63,8.78,107.38,8.64,8.6
-9.61,3.33,-10.35,3.37,10.18,109.1,10.88,108.06,10.72,10.67
-9.95,3.36,-10.72,3.47,10.5,108.64,11.27,107.92,11.09,11.04
-10.98,3.51,-11.85,3.66,11.53,107.72,12.4,107.14,12.2,12.14
-11.13,3.36,-12.1,3.47,11.63,106.78,12.59,105.99,12.36,12.3
-11.65,3.08,-12.76,3.16,12.05,104.81,13.14,103.89,12.89,12.81
-11.58,2.12,-12.85,2.12,11.77,100.36,13.03,99.38,12.73,12.65
-10.54,0.66,-12.11,0.53,10.56,93.59,12.12,92.5,11.76,11.65
-9.47,0.17,-11.17,-0.1,9.47,91.03,11.18,89.5,10.78,10.66
-8.76,0.23,-10.42,-0.07,8.76,91.52,10.43,89.63,10.03,9.93
-8.76,0.23,-10.42,-0.04,8.76,91.52,10.42,89.81,10.03,9.93
-8.58,0.2,-10.14,-0.07,8.58,91.31,10.14,89.62,9.78,9.67
-8.21,-0.14,-9.61,-0.41,8.21,89.0,9.62,87.55,9.29,9.2
-8.21,-0.39,-9.61,-0.69,8.22,87.26,9.63,85.88,9.3,9.21
-8.0,-0.52,-9.33,-0.82,8.02,86.3,9.36,84.99,9.05,8.96
-7.69,-0.21,-9.01,-0.5,7.69,88.47,9.03,86.79,8.71,8.63
-7.43,-0.39,-8.86,-0.76,7.44,86.97,8.89,85.12,8.55,8.46
-7.0,-0.45,-8.29,-0.91,7.01,86.35,8.35,83.71,8.03,7.95
-6.57,-0.02,-7.83,-0.35,6.57,89.85,7.83,87.44,7.54,7.46
-6.45,-0.42,-7.04,-0.75,6.46,86.28,7.08,83.88,6.93,6.89
-5.75,-0.62,-6.0,-0.82,5.78,83.88,6.05,82.26,5.99,5.97
-4.82,-0.46,-5.0,-0.69,4.84,84.61,5.05,82.13,5.0,4.99
-4.24,0.26,-4.22,0.06,4.25,93.5,4.22,90.8,4.22,4.23
-4.39,0.6,-4.37,0.4,4.43,97.76,4.39,95.26,4.4,4.4
-4.84,0.63,-4.68,0.43,4.88,97.47,4.7,95.3,4.74,4.76
-6.7,0.73,-6.68,0.46,6.74,96.23,6.7,93.98,6.71,6.71
-6.61,0.46,-6.62,0.15,6.62,93.95,6.62,91.32,6.62,6.62
-5.89,-0.82,-5.81,-1.19,5.95,82.07,5.93,78.4,5.93,5.93
-5.7,0.55,-5.65,0.21,5.73,95.55,5.66,92.18,5.67,5.68
-5.45,0.27,-5.34,-0.1,5.46,92.81,5.34,88.93,5.37,5.37
-4.32,-1.27,-4.47,-2.04,4.5,73.65,4.91,65.44,4.82,4.79
-2.71,-4.33,-2.56,-6.09,5.11,32.09,6.6,22.8,6.25,6.15
-2.1,-6.18,-2.54,-8.12,6.52,18.76,8.5,17.36,8.04,7.91
-3.26,-6.59,-4.04,-8.52,7.35,26.32,9.43,25.36,8.94,8.81
-4.39,-6.6,-5.48,-8.46,7.93,33.66,10.08,32.94,9.58,9.43
-2.66,-6.29,-3.57,-8.09,6.83,22.91,8.84,23.85,8.37,8.24
-1.53,-7.04,-2.07,-9.18,7.21,12.23,9.41,12.7,8.89,8.75
0.11,-6.1,1.33,-7.09,6.1,359.0,7.22,349.35,6.96,6.88
0.91,-5.68,1.57,-7.55,5.75,350.89,7.71,348.23,7.25,7.12
1.07,-5.13,2.17,-6.77,5.24,348.22,7.11,342.2,6.67,6.55
1.03,-5.38,2.14,-7.05,5.48,349.12,7.37,343.11,6.93,6.8
-0.36,-5.89,0.04,-7.83,5.9,3.47,7.83,359.72,7.38,7.25
-0.72,-7.19,-0.37,-9.5,7.22,5.75,9.5,2.21,8.97,8.82
